game_id,gamer_id,kills,deaths,assists,kd,damage,score,score_per_min,wall_bangs,headshots,reviver,team_placement,time_played,total_xp,score_xp,match_xp,challenge_xp,medal_xp,bonus_xp,misc_xp,team_wiped,gulag_kills,gulag_deaths,distance_traveled,percent_time_moving,team_survival,executions,nearmisses,kiosk_buy,damage_taken,mission_pickup_tablet,last_stand_kill,longest_streak,cache_open
16163492498473796891,gs25#11901,9,2,0,4.50,"3,228","6,725",259.15,0,2,2,4,25m 57s,"23,829","7,985","12,189",0,335,0,0,3,1,0,"589,767",95.1%,24m 38s,0,0,3,496,4,5,7,7
11953989740954279467,gs25#11901,7,2,1,3.50,"2,704","7,675",321.58,0,0,2,8,23m 52s,"22,166","8,420","11,110",0,295,0,0,1,0,1,"431,161",87.2%,22m 27s,0,0,5,403,3,4,5,4
15523428824912408014,gs25#11901,6,3,2,2.00,"2,340","6,225",302.92,0,1,2,14,20m 33s,"19,392","7,765","9,228",0,85,0,0,,1,1,"304,020",87.2%,19m 15s,0,0,3,867,3,4,4,10
14277152533142654519,gs25#11901,3,1,0,3.00,"1,311","4,925",408.15,0,1,,27,12m 04s,"11,326","5,425","4,922",0,20,0,0,,0,1,"343,702",98.9%,10m 33s,0,0,3,333,2,3,3,10
17617647452243470606,gs25#11901,2,2,4,1.00,939,"2,225",116.59,0,0,,12,19m 05s,"12,847","3,145","9,277",0,0,0,0,,1,0,"320,174",77.0%,17m 51s,0,0,2,743,3,,1,2
17405525693127673412,gs25#11901,6,3,6,2.00,"4,046","6,075",212.17,0,1,,1,28m 38s,"24,094","6,375","13,469",0,320,0,0,4,1,2,"542,530",90.2%,27m 47s,0,0,,952,3,1,5,9
3134767018198690423,gs25#11901,9,2,3,4.50,"3,619","7,375",286.22,0,2,4,6,25m 46s,"28,334","10,120","12,104",0,320,0,0,1,1,0,"547,093",96.1%,25m 05s,0,0,3,502,3,6,5,4
16030997275012781550,gs25#11901,1,2,0,0.50,272,"1,800",194.24,0,0,,34,09m 16s,"7,763","3,000","4,483",0,15,0,0,,1,0,"317,195",89.9%,08m 01s,0,0,1,490,2,,1,4
7589415429966096182,gs25#11901,4,2,2,2.00,"2,549","7,325",283.37,0,0,1,4,25m 51s,"21,284","8,245","12,320",0,25,0,0,1,0,1,"503,236",90.2%,24m 23s,0,0,4,505,1,3,2,5
15758024601860525316,gs25#11901,2,2,1,1.00,821,"2,150",163.71,0,0,,22,13m 08s,"9,119","2,900","6,159",0,60,0,0,,1,0,"447,021",89.4%,11m 48s,0,0,1,902,2,,1,2
8558556633936751383,gs25#11901,5,3,7,1.67,"3,652","6,100",216.44,0,4,,1,28m 11s,"25,112","11,020","13,252",0,90,0,0,1,1,1,"478,732",91.2%,26m 52s,0,0,2,961,4,3,4,13
14159589573646897553,gs25#11901,4,2,1,2.00,"1,173","3,675",207.04,0,1,,15,17m 45s,"13,080","4,395","8,542",0,20,0,0,,1,0,"441,764",94.7%,16m 19s,0,0,2,523,2,2,2,7
13388086087924970619,gs25#11901,3,2,0,1.50,"1,036","2,800",247.06,0,0,,32,11m 20s,"7,375","3,720","3,625",0,30,0,0,,1,0,"386,327",89.4%,09m 51s,0,0,1,279,2,2,2,7
16353312942330841573,gs25#11901,5,3,3,1.67,"1,793","3,875",170.70,0,0,2,9,22m 42s,"14,629","4,375","9,921",0,20,0,0,1,1,1,"408,129",89.2%,20m 36s,0,0,2,614,3,2,3,7
