game_id,gamer_id,kills,deaths,assists,kd,damage,score,score_per_min,wall_bangs,headshots,reviver,team_placement,time_played,total_xp,score_xp,match_xp,challenge_xp,medal_xp,bonus_xp,misc_xp,team_wiped,gulag_kills,gulag_deaths,distance_traveled,percent_time_moving,team_survival,executions,nearmisses,kiosk_buy,damage_taken,mission_pickup_tablet,last_stand_kill,longest_streak,cache_open
7589415429966096182,yummkpop#1347,5,2,0,2.50,"1,787","5,700",220.50,0,1,1,4,25m 51s,"19,879","6,620","12,320",0,280,0,0,4,0,1,"364,758",82.6%,24m 23s,0,0,3,435,1,1,5,8
15758024601860525316,yummkpop#1347,1,3,0,0.33,657,"2,875",218.63,0,0,,22,13m 09s,"9,649","3,475","6,159",0,10,0,0,,1,1,"404,731",93.0%,11m 48s,0,0,2,479,2,,1,5
8558556633936751383,yummkpop#1347,19,2,3,9.50,"5,917","17,600",624.11,0,1,3,1,28m 12s,"43,467","22,620","13,252",0,"1,400",0,0,3,1,1,"493,696",91.8%,26m 52s,0,0,8,859,4,13,16,8
14159589573646897553,yummkpop#1347,5,2,3,2.50,"1,999","3,900",219.51,0,1,1,15,17m 46s,"13,519","4,820","8,542",0,50,0,0,1,1,0,"380,293",81.9%,16m 19s,0,0,1,524,2,3,4,6
13388086087924970619,yummkpop#1347,4,2,0,2.00,"1,135","6,800",599.12,0,1,,32,11m 21s,"11,365","7,720","3,625",0,20,0,0,1,1,0,"303,439",95.3%,09m 51s,0,0,5,405,2,2,3,5
16353312942330841573,yummkpop#1347,7,2,3,3.50,"3,270","5,700",251.10,0,2,,9,22m 42s,"17,891","7,050","9,921",0,360,0,0,2,1,0,"395,478",94.5%,20m 36s,0,0,2,670,3,4,6,5
12955494158444691315,yummkpop#1347,7,2,1,3.50,"1,985","12,725",594.16,0,0,,13,21m 25s,"23,376","13,225","9,612",0,270,0,0,3,1,0,"544,018",94.6%,20m 05s,0,0,8,643,3,3,5,16
12738010084500329887,yummkpop#1347,3,3,2,1.00,"1,944","5,000",213.52,0,1,,6,23m 25s,"17,594","5,525","11,693",0,30,0,0,,1,1,"278,659",81.4%,21m 43s,0,0,4,"1,141",2,2,3,6
7314646276288291020,yummkpop#1347,7,2,3,3.50,"2,745","7,175",545.63,0,1,,20,13m 09s,"15,027","8,075","6,558",0,330,0,0,1,1,0,"358,603",96.9%,11m 53s,0,0,4,680,1,6,6,2
13762401846356229730,yummkpop#1347,4,2,2,2.00,"1,821","3,975",213.71,0,0,2,10,18m 36s,"14,837","4,725","9,907",0,30,0,0,,1,0,"385,979",78.7%,17m 19s,0,0,1,761,2,3,2,3
7573066476077844879,yummkpop#1347,7,1,2,7.00,"3,200","10,425",370.56,0,5,,1,28m 08s,"27,345","12,385","13,076",0,350,0,0,2,0,0,"404,111",94.2%,26m 55s,0,0,5,931,3,5,6,10
11269262590786748193,yummkpop#1347,2,3,2,0.67,"1,181","4,500",227.66,0,1,4,11,19m 46s,"15,694","5,570","9,784",0,30,0,0,,1,1,"280,358",65.1%,18m 24s,0,0,2,760,4,2,2,3
2452511754432298028,yummkpop#1347,8,0,8,8.00,"3,884","11,650",417.31,0,2,1,1,27m 55s,"33,462","18,925","12,778",0,370,0,0,1,0,0,"399,141",98.3%,26m 27s,0,0,8,322,5,6,8,9
166789920170152961,yummkpop#1347,5,2,2,2.50,"1,851","2,025",191.04,0,2,,7,10m 36s,"7,600","3,075","3,973",0,375,0,0,,0,0,"105,694",94.2%,08m 56s,0,0,,430,,5,5,3
12908584275300178648,yummkpop#1347,5,3,0,1.67,"2,286","3,100",261.97,0,0,1,5,11m 50s,"8,251","3,300","4,230",0,290,0,0,1,0,0,"127,665",86.6%,10m 39s,0,0,,885,1,6,6,5
17948462844728439216,yummkpop#1347,0,1,0,0.00,150,475,127.80,0,0,,13,03m 43s,"3,175","1,975","1,080",0,120,0,0,,0,0,"74,041",87.1%,02m 09s,0,0,,254,1,1,1,1
