game_id,gamer_id,kills,deaths,assists,kd,damage,score,score_per_min,wall_bangs,headshots,reviver,team_placement,time_played,total_xp,score_xp,match_xp,challenge_xp,medal_xp,bonus_xp,misc_xp,team_wiped,gulag_kills,gulag_deaths,distance_traveled,percent_time_moving,team_survival,executions,nearmisses,kiosk_buy,damage_taken,mission_pickup_tablet,last_stand_kill,longest_streak,cache_open
4223078244781390265,zeroserker#1337,5,2,0,2.50,"1,217","7,975",275.79,0,1,3,1,28m 55s,"27,265","12,065","13,558",0,300,0,0,3,1,1,"451,068",75.8%,27m 22s,0,0,4,841,5,1,5,5
17718494056479241550,zeroserker#1337,2,3,1,0.67,739,"1,100",121.10,0,1,,30,09m 05s,"5,644","2,100","3,524",0,20,0,0,,1,1,"329,103",89.2%,07m 48s,0,0,,566,2,1,2,3
3901270746947754775,zeroserker#1337,1,3,0,0.33,106,950,106.15,0,0,,29,08m 57s,"5,817","2,150","3,657",0,10,0,0,,1,1,"291,348",68.0%,07m 34s,0,0,1,627,3,,1,
14610447734651179791,zeroserker#1337,1,2,1,0.50,385,"3,200",165.95,0,0,1,17,19m 17s,"11,848","3,500","8,348",0,0,0,0,1,1,0,"431,535",75.2%,17m 55s,0,0,2,722,2,,1,6
17662941684753188415,zeroserker#1337,1,3,0,0.33,610,"5,175",200.58,0,0,1,4,25m 48s,"18,966","6,195","12,316",0,10,0,0,,0,2,"423,903",86.4%,24m 22s,0,0,2,839,5,1,1,11
1641179966283275967,zeroserker#1337,1,1,0,1.00,122,"2,750",452.05,0,0,,27,06m 05s,"6,495","3,250","3,235",0,10,0,0,,1,0,"351,199",96.2%,04m 57s,0,0,3,456,1,,1,2
620456720349317774,zeroserker#1337,0,2,1,0.00,150,125,26.04,0,0,,39,04m 48s,"1,127",125,"1,002",0,0,0,0,,0,1,"195,603",76.0%,03m 29s,0,0,,339,1,,0,
5180405638005609626,zeroserker#1337,3,3,0,1.00,"1,293","6,050",337.99,0,0,1,19,17m 54s,"15,964","8,250","7,649",0,10,0,0,1,0,2,"355,089",54.3%,16m 33s,0,0,3,480,3,1,1,4
17222959032403174043,zeroserker#1337,4,2,1,2.00,"1,013","9,875",396.06,0,2,1,3,24m 56s,"24,611","11,615","12,674",0,50,0,0,2,1,0,"630,523",94.2%,23m 29s,0,0,6,"1,225",2,2,4,4
10109219542639529661,zeroserker#1337,5,3,1,1.67,"2,038","4,175",219.35,0,2,,13,19m 02s,"15,163","5,915","8,851",0,30,0,0,,0,2,"350,001",84.1%,17m 38s,0,0,1,771,3,4,4,2
13081893180769603233,zeroserker#1337,5,3,3,1.67,"2,260","8,075",375.58,0,0,,11,21m 30s,"21,933","11,200","10,041",0,290,0,0,1,0,2,"432,712",94.6%,20m 18s,0,0,6,816,3,4,5,11
12087654651502172632,zeroserker#1337,9,2,2,4.50,"2,556","10,650",435.58,0,1,1,6,24m 27s,"26,190","13,115","11,948",0,315,0,0,2,1,0,"426,109",97.8%,23m 11s,0,0,6,765,5,6,9,4
13453431843601853352,zeroserker#1337,4,3,1,1.33,"1,251","2,275",168.52,0,1,,15,13m 30s,"10,942","2,575","8,242",0,75,0,0,1,1,1,"341,065",92.2%,12m 18s,0,0,,"1,081",1,2,3,7
8927636214016453973,zeroserker#1337,0,2,0,0.00,186,700,82.51,0,0,,32,08m 29s,"5,522","1,200","4,322",0,0,0,0,,0,1,"272,454",68.5%,07m 19s,0,0,,227,2,,0,5
3497730070697968140,zeroserker#1337,3,5,1,0.60,"1,440","2,825",162.82,0,1,1,18,17m 21s,"11,954","3,325","8,545",0,30,0,0,1,0,4,"358,880",76.5%,16m 05s,0,0,1,"1,026",1,1,1,6
2059227658988340604,zeroserker#1337,5,2,1,2.50,"2,071","9,500",444.96,0,1,1,11,21m 21s,"23,035","12,140","10,553",0,40,0,0,2,1,0,"500,448",96.3%,20m 19s,0,0,5,672,4,2,3,6
10212128878315898499,zeroserker#1337,1,3,4,0.33,"1,279","8,025",298.70,0,0,1,2,26m 52s,"24,254","10,945","12,879",0,10,0,0,1,1,1,"423,159",82.2%,25m 18s,0,0,6,"1,267",4,1,1,6
16989541541350840783,zeroserker#1337,1,3,0,0.33,328,650,45.56,0,0,,21,14m 16s,"9,474","2,070","7,404",0,0,0,0,,0,2,"313,492",69.2%,13m 04s,0,0,,411,1,,0,5
5092704976410121218,zeroserker#1337,1,4,2,0.25,775,"2,550",101.93,0,0,,3,25m 01s,"18,466","5,875","12,519",0,0,0,0,,1,2,"609,815",83.4%,23m 46s,0,0,1,"1,107",5,,1,8
13873556314621812488,zeroserker#1337,2,2,0,1.00,404,"3,225",341.87,0,0,1,30,09m 26s,"8,247","3,575","4,652",0,20,0,0,1,1,0,"312,364",91.9%,08m 36s,0,0,1,789,,1,2,2
