game_id,gamer_id,kills,deaths,assists,kd,damage,score,score_per_min,wall_bangs,headshots,reviver,team_placement,time_played,total_xp,score_xp,match_xp,challenge_xp,medal_xp,bonus_xp,misc_xp,team_wiped,gulag_kills,gulag_deaths,distance_traveled,percent_time_moving,team_survival,executions,nearmisses,kiosk_buy,damage_taken,mission_pickup_tablet,last_stand_kill,longest_streak,cache_open
11698300319115607519,yummkpop#1347,4,3,0,1.33,"1,407","2,625",163.72,0,1,1,16,16m 02s,"12,342","4,525","7,787",0,30,0,0,,0,2,"469,189",61.9%,14m 43s,0,0,1,586,3,2,3,4
17182078833479220539,yummkpop#1347,6,3,3,2.00,"2,982","9,300",357.01,0,4,1,3,26m 03s,"25,945","11,740","12,597",0,385,0,0,3,0,2,"388,894",74.7%,24m 46s,0,0,3,798,4,4,7,6
15925514889536635669,yummkpop#1347,13,2,2,6.50,"4,324","11,625",489.13,0,8,2,8,23m 46s,"26,432","12,625","11,139",0,920,0,0,1,1,0,"526,699",96.0%,22m 34s,0,0,6,477,2,12,12,4
573270288278313393,yummkpop#1347,4,2,1,2.00,"1,847","2,375",181.30,0,2,,26,13m 06s,"8,365","2,975","5,208",0,60,0,0,1,1,0,"404,374",87.3%,11m 46s,0,0,,787,2,3,3,4
687639334006703739,yummkpop#1347,0,0,0,0.00,0,0,0.00,0,0,,36,54s,0,0,0,0,0,0,0,,0,0,0,0.0%,00m 3.072s,0,0,,0,,,0,
7869723912574660908,yummkpop#1347,7,1,0,7.00,"2,459","7,050",248.24,0,3,2,4,28m 24s,"26,107","11,100","12,952",0,350,0,0,2,0,0,"392,852",85.2%,27m 05s,0,0,3,393,4,5,7,5
