game_id,gamer_id,kills,deaths,assists,kd,damage,score,score_per_min,wall_bangs,headshots,reviver,team_placement,time_played,total_xp,score_xp,match_xp,challenge_xp,medal_xp,bonus_xp,misc_xp,team_wiped,gulag_kills,gulag_deaths,distance_traveled,percent_time_moving,team_survival,executions,nearmisses,kiosk_buy,damage_taken,mission_pickup_tablet,last_stand_kill,longest_streak,cache_open
4559040209714290565,gs25#11901,2,0,0,2.00,"1,133","3,425",262.79,0,1,,30,13m 02s,"10,558","4,645","5,824",0,30,0,0,2,0,0,"317,046",94.6%,11m 53s,0,0,2,120,1,1,2,4
6660689358942084980,gs25#11901,2,2,1,1.00,852,600,104.05,0,0,,40,05m 46s,"2,949",600,"2,349",0,0,0,0,,0,1,"288,236",63.4%,04m 28s,0,0,,235,,1,1,2
10608319818845517924,gs25#11901,1,2,0,0.50,839,"4,800",357.32,0,0,,19,13m 26s,"13,433","5,875","7,486",0,20,0,0,,1,0,"403,083",96.4%,12m 10s,0,0,3,681,1,1,1,4
2685703178302667620,gs25#11901,2,2,1,1.00,867,"3,750",371.29,0,2,,32,10m 06s,"8,953","4,350","4,543",0,60,0,0,1,1,0,"253,386",81.3%,08m 54s,0,0,2,342,2,1,3,6
6969173022209160501,gs25#11901,1,2,0,0.50,267,650,74.00,0,0,,30,08m 47s,"4,442","1,150","3,282",0,10,0,0,,1,0,"367,815",98.5%,07m 34s,0,0,,368,1,,1,3
10251437350741294273,gs25#11901,2,2,0,1.00,"1,104","1,325",155.88,0,1,,27,08m 30s,"5,994","1,825","4,124",0,45,0,0,,0,1,"218,677",58.5%,07m 08s,0,0,,298,2,3,3,2
15421420414925206938,gs25#11901,4,2,0,2.00,"1,202","7,625",440.33,0,1,1,15,17m 19s,"16,685","8,370","8,101",0,30,0,0,,1,0,"379,567",77.9%,16m 03s,0,0,5,648,2,2,4,5
2671350420482334968,gs25#11901,1,2,0,0.50,414,950,82.85,0,1,,25,11m 28s,"5,757",950,"4,733",0,20,0,0,,1,0,"429,968",99.0%,09m 44s,0,0,,521,,,1,7
6619170849598858237,gs25#11901,7,2,0,3.50,"2,476","7,775",334.17,0,6,1,7,23m 16s,"20,899","8,075","11,548",0,400,0,0,2,1,0,"431,877",82.9%,21m 54s,0,0,3,903,1,5,6,7
12133727580016502870,gs25#11901,2,3,0,0.67,864,950,79.17,0,0,,20,12m 00s,"7,226",950,"6,266",0,10,0,0,1,1,1,"295,149",83.6%,10m 38s,0,0,,"1,528",1,,2,1
14855712536787442897,gs25#11901,4,1,0,4.00,"2,067","8,250",339.74,0,1,1,6,24m 17s,"22,095","9,170","12,040",0,30,0,0,2,0,0,"387,713",94.2%,22m 57s,0,0,5,625,1,3,4,12
5075387078736720076,gs25#11901,4,3,0,1.33,"1,558","4,125",227.90,0,2,1,12,18m 06s,"15,144","5,325","9,593",0,60,0,0,,1,1,"414,725",86.7%,16m 50s,0,0,2,"1,248",2,4,3,5
6603640359788115225,gs25#11901,5,2,0,2.50,"1,593","5,550",325.51,0,1,2,16,17m 03s,"18,317","9,450","8,750",0,60,0,0,3,0,1,"340,516",81.3%,15m 43s,0,0,2,456,4,2,4,1
4796021943793006469,gs25#11901,2,2,0,1.00,"1,178","2,825",187.92,0,0,,18,15m 02s,"12,873","4,725","8,128",0,20,0,0,,1,0,"368,228",97.9%,13m 41s,0,0,1,706,2,1,2,11
