game_id,gamer_id,kills,deaths,assists,kd,damage,score,score_per_min,wall_bangs,headshots,reviver,team_placement,time_played,total_xp,score_xp,match_xp,challenge_xp,medal_xp,bonus_xp,misc_xp,team_wiped,gulag_kills,gulag_deaths,distance_traveled,percent_time_moving,team_survival,executions,nearmisses,kiosk_buy,damage_taken,mission_pickup_tablet,last_stand_kill,longest_streak,cache_open
1349970590346072440,zeroserker#1337,2,4,1,0.50,"1,503","2,050",80.03,0,2,,7,25m 37s,"17,097","5,150","11,917",0,30,0,0,,1,2,"429,895",62.6%,24m 17s,0,0,1,"1,225",3,1,1,1
5073391800759570290,zeroserker#1337,1,2,0,0.50,355,950,92.23,0,1,,25,10m 18s,"5,838","1,100","4,728",0,10,0,0,,1,0,"384,345",87.6%,08m 54s,0,0,,556,1,,1,6
1506613879283310283,zeroserker#1337,1,3,0,0.33,760,"5,825",230.39,0,1,1,6,25m 17s,"21,914","9,715","11,650",0,80,0,0,,1,1,"416,679",92.3%,23m 57s,0,0,3,709,5,1,2,8
5763528002224044371,zeroserker#1337,2,3,0,0.67,657,925,93.91,0,1,1,24,09m 51s,"7,457","2,625","4,812",0,20,0,0,,1,1,"249,865",94.1%,08m 27s,0,0,,820,3,1,1,
1278303422428320224,zeroserker#1337,8,1,4,8.00,"2,276","7,775",280.01,0,0,1,1,27m 46s,"22,293","8,275","13,055",0,35,0,0,1,1,0,"416,774",95.4%,26m 12s,0,0,3,825,2,3,4,8
4196406253400131934,zeroserker#1337,2,2,0,1.00,534,"6,025",391.66,0,0,,20,15m 23s,"14,534","6,750","7,754",0,30,0,0,,1,0,"375,198",94.7%,13m 56s,0,0,4,563,2,1,2,9
12734125678411781487,zeroserker#1337,3,8,1,0.38,899,"1,425",179.62,0,0,,,07m 56s,"1,875","1,775",0,0,100,0,0,2,,,"262,323",95.6%,,0,0,,834,1,2,2,1
6764090449620091981,zeroserker#1337,0,0,1,0.00,0,"1,800",135.68,0,0,,,13m 16s,"19,787","12,435","7,072",0,280,0,0,,,,"606,879",99.3%,,0,0,4,0,8,,0,2
