game_id,game_date,gamer_id,game_type,game_time,placement,kills,cache_open,damage,damage_per_min
11698300319115607519,Matches Today,yummkpop#1347,BR Quads,04:50 AM,16th,4,4,"1,407",87.75
17182078833479220539,Matches Today,yummkpop#1347,BR Quads,04:22 AM,3rd,6,6,"2,982",114.47
15925514889536635669,Matches Today,yummkpop#1347,BR Quads,03:57 AM,8th,13,4,"4,324",181.94
573270288278313393,Matches Today,yummkpop#1347,BR Quads,03:43 AM,26th,4,4,"1,847",140.99
687639334006703739,Dec 22,yummkpop#1347,BR Quads,07:13 PM,36th,0,,0,0.00
7869723912574660908,Dec 22,yummkpop#1347,BR Quads,06:43 PM,4th,7,5,"2,459",86.58
