game_id,game_date,gamer_id,game_type,game_time,placement,kills,cache_open,damage,damage_per_min
12738010084500329887,Matches Today,yummkpop#1347,BR Quads,05:12 AM,6th,3,6,"1,944",83.02
7314646276288291020,Matches Today,yummkpop#1347,BR Quads,04:57 AM,20th,7,2,"2,745",208.75
13762401846356229730,Matches Today,yummkpop#1347,BR Quads,04:35 AM,10th,4,3,"1,821",97.90
7573066476077844879,Matches Today,yummkpop#1347,BR Quads,04:06 AM,1st,7,10,"3,200",113.74
11269262590786748193,Matches Today,yummkpop#1347,BR Quads,03:45 AM,11th,2,3,"1,181",59.75
2452511754432298028,Matches Today,yummkpop#1347,BR Quads,03:12 AM,1st,8,9,"3,884",139.13
166789920170152961,Matches Today,yummkpop#1347,Other,02:49 AM,7th,5,3,"1,851",174.62
12908584275300178648,Matches Today,yummkpop#1347,Other,02:33 AM,5th,5,5,"2,286",193.18
17948462844728439216,Matches Today,yummkpop#1347,Other,02:29 AM,13th,0,1,150,40.36
6371716728980100184,Dec 16,yummkpop#1347,BR Quads,11:15 PM,4th,6,9,"2,865",112.06
1994483019911682945,Dec 16,yummkpop#1347,BR Quads,11:06 PM,28th,3,2,"1,981",242.08
17186776500400332224,Dec 16,yummkpop#1347,BR Quads,10:45 PM,16th,2,4,"1,019",55.38
3376491939744792884,Dec 16,yummkpop#1347,BR Quads,10:26 PM,22nd,2,3,"1,072",85.08
9208711585883946615,Dec 16,yummkpop#1347,Other,10:12 PM,,2,2,400,91.25
6969173022209160501,Dec 16,yummkpop#1347,BR Quads,04:40 AM,30th,1,6,696,79.24
10251437350741294273,Dec 16,yummkpop#1347,BR Quads,04:14 AM,27th,0,1,449,52.82
15421420414925206938,Dec 16,yummkpop#1347,BR Quads,03:49 AM,15th,0,8,646,37.27
2671350420482334968,Dec 16,yummkpop#1347,BR Quads,03:37 AM,25th,3,5,897,78.11
6619170849598858237,Dec 16,yummkpop#1347,BR Quads,03:12 AM,7th,7,9,"3,705",159.24
12133727580016502870,Dec 16,yummkpop#1347,BR Quads,02:59 AM,20th,3,5,"1,283",106.92
