game_id,game_date,gamer_id,game_type,game_time,placement,kills,cache_open,damage,damage_per_min
4223078244781390265,Dec 28,yummkpop#1347,BR Quads,05:20 AM,1st,7,11,"2,821",97.56
17718494056479241550,Dec 28,yummkpop#1347,BR Quads,05:09 AM,30th,3,,883,97.21
3901270746947754775,Dec 28,yummkpop#1347,BR Quads,04:59 AM,29th,4,2,"1,516",169.70
14610447734651179791,Dec 28,yummkpop#1347,BR Quads,04:38 AM,17th,6,11,"1,981",102.82
17662941684753188415,Dec 28,yummkpop#1347,BR Quads,04:11 AM,4th,7,6,"2,992",115.89
1641179966283275967,Dec 28,yummkpop#1347,BR Quads,04:02 AM,27th,2,,566,93.04
620456720349317774,Dec 28,yummkpop#1347,BR Quads,03:57 AM,39th,3,1,607,127.34
5180405638005609626,Dec 28,yummkpop#1347,BR Quads,03:38 AM,19th,9,7,"3,164",177.59
17222959032403174043,Dec 28,yummkpop#1347,BR Quads,03:11 AM,3rd,11,5,"2,816",112.94
10109219542639529661,Dec 28,yummkpop#1347,BR Quads,02:51 AM,13th,4,9,"1,823",95.86
13081893180769603233,Dec 28,yummkpop#1347,BR Quads,02:28 AM,11th,10,18,"3,116",144.93
12087654651502172632,Dec 27,yummkpop#1347,BR Trios,09:05 PM,6th,7,12,"3,091",126.51
13453431843601853352,Dec 27,yummkpop#1347,BR Trios,08:50 PM,15th,4,2,"2,522",186.81
8927636214016453973,Dec 27,yummkpop#1347,BR Trios,08:40 PM,32nd,2,8,810,95.48
3497730070697968140,Dec 27,yummkpop#1347,BR Trios,08:20 PM,18th,6,8,"2,420",139.62
2059227658988340604,Dec 27,yummkpop#1347,BR Trios,07:58 PM,11th,7,6,"3,809",178.41
10212128878315898499,Dec 27,yummkpop#1347,BR Trios,07:27 PM,2nd,9,9,"3,435",126.36
16989541541350840783,Dec 27,yummkpop#1347,BR Trios,07:12 PM,21st,2,9,"1,138",79.77
5092704976410121218,Dec 27,yummkpop#1347,BR Trios,06:46 PM,3rd,6,5,"1,769",70.71
13873556314621812488,Dec 27,yummkpop#1347,BR Trios,06:34 PM,30th,0,8,114,11.48
