game_id,game_date,gamer_id,game_type,game_time,placement,kills,cache_open,damage,damage_per_min
6969173022209160501,Matches Today,yummkpop#1347,BR Quads,04:40 AM,30th,1,6,696,79.24
10251437350741294273,Matches Today,yummkpop#1347,BR Quads,04:14 AM,27th,0,1,449,52.82
15421420414925206938,Matches Today,yummkpop#1347,BR Quads,03:49 AM,15th,0,8,646,37.27
2671350420482334968,Matches Today,yummkpop#1347,BR Quads,03:37 AM,25th,3,5,897,78.11
6619170849598858237,Matches Today,yummkpop#1347,BR Quads,03:12 AM,7th,7,9,"3,705",159.24
12133727580016502870,Matches Today,yummkpop#1347,BR Quads,02:59 AM,20th,3,5,"1,283",106.92
14855712536787442897,Dec 15,yummkpop#1347,BR Trios,04:38 AM,6th,13,5,"4,018",165.46
5075387078736720076,Dec 15,yummkpop#1347,BR Trios,04:18 AM,12th,3,3,"1,797",99.19
6603640359788115225,Dec 15,yummkpop#1347,BR Trios,04:00 AM,16th,4,5,"1,865",109.38
4796021943793006469,Dec 15,yummkpop#1347,BR Trios,03:44 AM,18th,2,15,"1,023",68.12
