game_id,game_date,gamer_id,game_type,game_time,placement,kills,cache_open,damage,damage_per_min
1349970590346072440,Matches Today,zeroserker#1337,BR Quads,06:15 AM,7th,2,1,"1,503",58.67
5073391800759570290,Matches Today,zeroserker#1337,BR Quads,06:04 AM,25th,1,6,355,34.47
1506613879283310283,Matches Today,zeroserker#1337,BR Quads,05:37 AM,6th,1,8,760,30.06
5763528002224044371,Matches Today,zeroserker#1337,BR Quads,05:27 AM,24th,2,,657,66.70
1278303422428320224,Matches Today,zeroserker#1337,BR Trios,04:57 AM,1st,8,8,"2,276",81.97
4196406253400131934,Matches Today,zeroserker#1337,BR Trios,04:40 AM,20th,2,9,534,34.71
12734125678411781487,Dec 26,zeroserker#1337,Blood Money,06:34 PM,,3,1,899,113.32
6764090449620091981,Dec 26,zeroserker#1337,Blood Money,04:10 PM,,0,2,0,0.00
