game_id,game_date,gamer_id,game_type,game_time,placement,kills,cache_open,damage,damage_per_min
16076048920570322838,Matches Today,gs25#11901,BR Trios,03:22 AM,47th,1,6,481,81.76
2662865406489271998,Matches Today,gs25#11901,BR Trios,03:09 AM,22nd,3,2,"1,731",149.01
184202694285440376,Matches Today,gs25#11901,BR Trios,02:41 AM,3rd,6,8,"3,504",130.26
14353499855015008718,Matches Today,gs25#11901,BR Trios,02:32 AM,33rd,1,10,714,89.44
13417250515865669045,Matches Today,gs25#11901,BR Trios,02:21 AM,35th,2,3,"1,246",120.00
13426168631278262426,Matches Today,gs25#11901,BR Trios,02:11 AM,34th,3,1,887,118.00
16163492498473796891,Dec 19,gs25#11901,BR Quads,05:38 AM,4th,9,7,"3,228",124.39
11953989740954279467,Dec 19,gs25#11901,BR Quads,05:13 AM,8th,7,4,"2,704",113.30
15523428824912408014,Dec 19,gs25#11901,BR Quads,04:51 AM,14th,6,10,"2,340",113.87
14277152533142654519,Dec 19,gs25#11901,BR Quads,04:38 AM,27th,3,10,"1,311",108.65
17617647452243470606,Dec 19,gs25#11901,BR Quads,04:18 AM,12th,2,2,939,49.21
17405525693127673412,Dec 19,gs25#11901,BR Quads,03:48 AM,1st,6,9,"4,046",141.30
