game_id,game_date,gamer_id,game_type,game_time,placement,kills,cache_open,damage,damage_per_min
11698300319115607519,Matches Today,gs25#11901,BR Quads,04:50 AM,16th,3,4,"1,109",69.17
17182078833479220539,Matches Today,gs25#11901,BR Quads,04:22 AM,3rd,6,9,"2,377",91.36
15925514889536635669,Matches Today,gs25#11901,BR Quads,03:57 AM,8th,7,8,"3,702",155.76
573270288278313393,Matches Today,gs25#11901,BR Quads,03:43 AM,26th,4,6,"1,350",103.05
7068172527233308540,Matches Today,gs25#11901,BR Quads,01:34 AM,2nd,5,3,"2,243",83.80
11069810420960945159,Matches Today,gs25#11901,BR Quads,01:07 AM,8th,6,6,"2,235",88.46
16641452119425625379,Matches Today,gs25#11901,BR Quads,12:57 AM,28th,0,5,645,72.07
8023509551043109062,Matches Today,gs25#11901,BR Trios,12:28 AM,2nd,8,5,"2,907",107.27
9513348898390230932,Matches Today,gs25#11901,BR Trios,12:05 AM,7th,7,3,"3,711",175.74
13233651522199027001,Dec 22,gs25#11901,BR Trios,11:50 PM,19th,0,6,563,42.49
687639334006703739,Dec 22,gs25#11901,BR Quads,07:13 PM,36th,0,,115,127.78
7869723912574660908,Dec 22,gs25#11901,BR Quads,06:43 PM,4th,4,13,"2,428",85.49
16870116248722004477,Dec 22,gs25#11901,BR Quads,03:51 AM,27th,4,2,"1,306",121.11
8064732788834449646,Dec 22,gs25#11901,BR Quads,03:41 AM,34th,1,4,220,25.68
1265591431154203119,Dec 22,gs25#11901,BR Quads,03:22 AM,17th,2,6,772,41.39
276096696879183769,Dec 22,gs25#11901,BR Quads,03:13 AM,33rd,1,1,773,101.71
6510012733783238628,Dec 22,gs25#11901,BR Quads,02:53 AM,13th,5,10,"1,684",95.23
14653290013535352129,Dec 22,gs25#11901,BR Quads,02:22 AM,1st,6,10,"2,300",80.37
4141133154218832885,Dec 22,gs25#11901,BR Quads,02:12 AM,29th,4,7,"1,117",127.90
2983170320968530452,Dec 22,gs25#11901,BR Quads,01:56 AM,18th,1,4,783,50.95
