game_id,game_date,gamer_id,game_type,game_time,placement,kills,cache_open,damage,damage_per_min
7589415429966096182,Matches Today,gs25#11901,BR Quads,05:13 AM,4th,4,5,"2,549",98.61
15758024601860525316,Matches Today,gs25#11901,BR Quads,04:59 AM,22nd,2,2,821,62.51
8558556633936751383,Matches Today,gs25#11901,BR Quads,04:26 AM,1st,5,13,"3,652",129.58
14159589573646897553,Matches Today,gs25#11901,BR Quads,04:08 AM,15th,4,7,"1,173",66.08
13388086087924970619,Matches Today,gs25#11901,BR Quads,03:55 AM,32nd,3,7,"1,036",91.41
16353312942330841573,Matches Today,gs25#11901,BR Quads,03:29 AM,9th,5,7,"1,793",78.99
14163324018580068960,Dec 17,gs25#11901,Resurgence Trios,07:56 PM,1st,5,10,"2,260",155.33
14207631149802564115,Dec 17,gs25#11901,Resurgence Trios,07:43 PM,7th,4,4,"1,291",103.83
8183667230659728315,Dec 17,gs25#11901,Resurgence Trios,07:27 PM,1st,9,7,"3,609",237.43
18017131144200455215,Dec 17,gs25#11901,Resurgence Trios,07:21 PM,12th,2,,563,122.84
12955494158444691315,Dec 17,gs25#11901,BR Quads,05:37 AM,13th,2,9,"1,631",76.16
12738010084500329887,Dec 17,gs25#11901,BR Quads,05:12 AM,6th,5,7,"1,959",83.66
7314646276288291020,Dec 17,gs25#11901,BR Quads,04:57 AM,20th,7,5,"2,074",157.72
13762401846356229730,Dec 17,gs25#11901,BR Quads,04:35 AM,10th,6,8,"2,229",119.84
7573066476077844879,Dec 17,gs25#11901,BR Quads,04:06 AM,1st,7,8,"4,348",154.55
11269262590786748193,Dec 17,gs25#11901,BR Quads,03:45 AM,11th,3,1,"2,068",104.62
2452511754432298028,Dec 17,gs25#11901,BR Quads,03:12 AM,1st,6,6,"3,421",122.62
166789920170152961,Dec 17,gs25#11901,Resurgence Trios,02:49 AM,7th,1,3,"1,014",95.66
12908584275300178648,Dec 17,gs25#11901,Resurgence Trios,02:33 AM,5th,2,2,"1,460",123.38
17948462844728439216,Dec 17,gs25#11901,Resurgence Trios,02:29 AM,13th,1,,207,56.20
