game_id,game_date,gamer_id,game_type,game_time,placement,kills,cache_open,damage,damage_per_min
11698300319115607519,Matches Today,zeroserker#1337,BR Quads,04:50 AM,16th,1,7,924,57.63
17182078833479220539,Matches Today,zeroserker#1337,BR Quads,04:22 AM,3rd,2,6,"2,071",79.50
15925514889536635669,Matches Today,zeroserker#1337,BR Quads,03:57 AM,8th,2,8,"1,646",69.26
573270288278313393,Matches Today,zeroserker#1337,BR Quads,03:43 AM,26th,3,2,959,73.11
7068172527233308540,Matches Today,zeroserker#1337,BR Quads,01:34 AM,2nd,5,5,"2,001",74.71
11069810420960945159,Matches Today,zeroserker#1337,BR Quads,01:07 AM,8th,1,13,910,35.99
16641452119425625379,Matches Today,zeroserker#1337,BR Quads,12:57 AM,28th,0,8,406,45.36
8023509551043109062,Matches Today,zeroserker#1337,BR Trios,12:28 AM,2nd,6,7,"2,593",95.57
9513348898390230932,Matches Today,zeroserker#1337,BR Trios,12:05 AM,7th,11,6,"2,671",126.39
13233651522199027001,Dec 22,zeroserker#1337,BR Trios,11:50 PM,19th,5,4,"1,515",114.77
687639334006703739,Dec 22,zeroserker#1337,BR Quads,07:13 PM,36th,0,,200,226.42
7869723912574660908,Dec 22,zeroserker#1337,BR Quads,06:43 PM,4th,7,5,"3,024",106.48
16870116248722004477,Dec 22,zeroserker#1337,BR Quads,03:51 AM,27th,0,5,425,39.41
8064732788834449646,Dec 22,zeroserker#1337,BR Quads,03:41 AM,34th,1,1,546,63.61
1265591431154203119,Dec 22,zeroserker#1337,BR Quads,03:22 AM,17th,0,7,430,23.06
276096696879183769,Dec 22,zeroserker#1337,BR Quads,03:13 AM,33rd,1,4,140,18.42
6510012733783238628,Dec 22,zeroserker#1337,BR Quads,02:53 AM,13th,2,5,843,47.58
14653290013535352129,Dec 22,zeroserker#1337,BR Quads,02:22 AM,1st,3,8,"1,438",50.25
4141133154218832885,Dec 22,zeroserker#1337,BR Quads,02:12 AM,29th,1,3,627,71.66
2983170320968530452,Dec 22,zeroserker#1337,BR Quads,01:56 AM,18th,1,8,846,54.82
