game_id,game_date,gamer_id,game_type,game_time,placement,kills,cache_open,damage,damage_per_min
4559040209714290565,Matches Today,gs25#11901,BR Trios,03:30 PM,30th,2,4,"1,133",86.93
6660689358942084980,Matches Today,gs25#11901,BR Trios,03:23 PM,40th,2,2,852,147.75
10608319818845517924,Matches Today,gs25#11901,BR Trios,03:08 PM,19th,1,4,839,62.46
2685703178302667620,Matches Today,gs25#11901,BR Trios,02:57 PM,32nd,2,6,867,85.84
6969173022209160501,Matches Today,gs25#11901,BR Quads,04:40 AM,30th,1,3,267,30.40
10251437350741294273,Matches Today,gs25#11901,BR Quads,04:14 AM,27th,2,2,"1,104",129.88
15421420414925206938,Matches Today,gs25#11901,BR Quads,03:49 AM,15th,4,5,"1,202",69.41
2671350420482334968,Matches Today,gs25#11901,BR Quads,03:37 AM,25th,1,7,414,36.10
6619170849598858237,Matches Today,gs25#11901,BR Quads,03:12 AM,7th,7,7,"2,476",106.42
12133727580016502870,Matches Today,gs25#11901,BR Quads,02:59 AM,20th,2,1,864,72.00
14855712536787442897,Dec 15,gs25#11901,BR Trios,04:38 AM,6th,4,12,"2,067",85.12
5075387078736720076,Dec 15,gs25#11901,BR Trios,04:18 AM,12th,4,5,"1,558",86.08
6603640359788115225,Dec 15,gs25#11901,BR Trios,04:00 AM,16th,5,1,"1,593",93.43
4796021943793006469,Dec 15,gs25#11901,BR Trios,03:44 AM,18th,2,11,"1,178",78.36
