game_id,game_date,gamer_id,game_type,game_time,placement,kills,cache_open,damage,damage_per_min
3204341211208396686,Matches Today,zeroserker#1337,Plunder Trios,05:16 PM,,0,5,515,30.47
9000803808481523429,Matches Today,zeroserker#1337,Plunder Trios,03:32 PM,,0,1,60,10.98
4152962234912053566,Dec 19,zeroserker#1337,Resurgence Trios,04:02 PM,7th,2,5,"1,329",159.80
3087232166920003907,Dec 19,zeroserker#1337,Plunder Trios,03:47 PM,,5,2,"2,067",157.39
16163492498473796891,Dec 19,zeroserker#1337,BR Quads,05:38 AM,4th,5,11,"2,762",106.37
11953989740954279467,Dec 19,zeroserker#1337,BR Quads,05:13 AM,8th,3,5,"1,590",66.67
15523428824912408014,Dec 19,zeroserker#1337,BR Quads,04:51 AM,14th,1,2,"1,159",56.40
14277152533142654519,Dec 19,zeroserker#1337,BR Quads,04:38 AM,27th,1,9,229,18.95
17617647452243470606,Dec 19,zeroserker#1337,BR Quads,04:18 AM,12th,2,5,"1,214",63.67
17405525693127673412,Dec 19,zeroserker#1337,BR Quads,03:48 AM,1st,6,15,"2,537",88.55
3298332840489304887,Dec 19,zeroserker#1337,Plunder Trios,02:23 AM,,6,8,"2,039",129.46
8904584639767076407,Dec 19,zeroserker#1337,Plunder Trios,02:21 AM,,0,,400,461.54
