game_id,gamer_id,game_date,game_time,kills,deaths,assists,kd,damage,score,score_per_min,wall_bangs,headshots,reviver,team_placement,time_played,total_xp,score_xp,match_xp,challenge_xp,medal_xp,bonus_xp,misc_xp,team_wiped,gulag_kills,gulag_deaths,distance_traveled,percent_time_moving,team_survival,executions,nearmisses,kiosk_buy,damage_taken,mission_pickup_tablet,last_stand_kill,longest_streak,cache_open
11241832392269774456,gs25#11901,2020-08-16,11:14:59 PM,2,2,0,1.00,845,925,130.59,0,0,,35,07m 05s,"3,711","1,425","2,266",0,20,0,0,,1,0,"204,681",88.2%,05m 39s,0,0,,532,1,1,1,2
17414335490099552516,gs25#11901,2020-08-16,10:59:41 PM,2,3,0,0.67,879,700,56.45,0,0,,26,12m 24s,"6,812","1,520","5,242",0,50,0,0,,0,2,"321,247",77.8%,11m 06s,0,0,,592,2,,0,3
4794064184118088964,gs25#11901,2020-08-16,10:51:09 PM,1,2,0,0.50,472,"1,125",155.89,0,0,,32,07m 13s,"3,637","1,125","2,512",0,0,0,0,,0,1,"210,685",89.7%,05m 54s,0,0,1,362,,1,1,4
15282175375476925575,gs25#11901,2020-08-16,10:41:21 PM,2,2,0,1.00,707,"1,325",158.37,0,0,1,34,08m 22s,"6,645","4,045","2,590",0,10,0,0,,1,0,"298,924",94.3%,07m 02s,0,0,1,267,2,1,2,1
14527932793029979442,gs25#11901,2020-08-16,10:11:49 PM,8,1,0,8.00,"2,791","7,025",249.41,0,1,2,3,28m 10s,"24,911","9,010","13,064",0,350,0,0,1,0,0,"311,574",94.3%,26m 46s,0,0,3,656,2,6,7,3
11574186447550017631,gs25#11901,2020-08-16,9:49:10 PM,3,4,0,0.75,"1,290","7,050",326.89,0,1,2,7,21m 34s,"20,841","9,770","10,947",0,50,0,0,,1,2,"341,761",81.1%,20m 08s,0,0,6,"1,295",2,4,4,4
3100980459093569714,gs25#11901,2020-08-16,9:18:51 PM,10,3,0,3.33,"4,462","8,250",302.57,0,3,1,1,27m 16s,"28,612","12,210","13,261",0,410,0,0,1,1,2,"510,822",95.3%,26m 05s,0,0,4,830,3,8,9,2
7422722263897817468,gs25#11901,2020-08-16,8:51:06 PM,5,1,0,5.00,"3,163","5,700",218.81,0,3,,3,26m 03s,"20,774","6,700","12,961",0,370,0,0,3,0,0,"315,197",97.1%,25m 31s,0,0,3,764,1,5,8,4
18400227300808406987,gs25#11901,2020-08-16,8:37:34 PM,3,2,0,1.50,802,"3,950",296.25,0,3,,27,13m 20s,"9,791","4,550","5,107",0,80,0,0,1,1,0,"310,543",87.6%,12m 09s,0,0,2,581,1,2,3,7
4288954097006684764,gs25#11901,2020-08-16,8:02:38 PM,4,3,0,1.33,"1,162","4,175",188.35,0,0,,8,22m 10s,"16,326","5,595","10,691",0,40,0,0,,1,1,"511,962",75.7%,20m 39s,0,0,3,670,3,1,1,5
11645254861986252222,gs25#11901,2020-08-16,4:10:10 PM,4,2,0,2.00,"2,614","3,775",143.99,0,1,,6,26m 13s,"15,646","3,775","11,704",0,45,0,0,1,1,0,"457,792",75.0%,24m 11s,0,0,2,"1,060",3,2,3,7
15434382295205941814,gs25#11901,2020-08-16,3:42:57 PM,6,1,0,6.00,"3,522","8,825",342.28,0,0,2,7,25m 47s,"24,818","12,505","11,744",0,75,0,0,,0,0,"382,353",94.7%,24m 21s,0,0,5,356,4,4,4,7
6219825127376906600,gs25#11901,2020-08-16,3:33:38 PM,1,2,0,0.50,134,550,64.58,0,0,1,32,08m 31s,"4,343",950,"3,343",0,50,0,0,,1,0,"182,109",99.3%,07m 02s,0,0,,552,1,,1,1
3385930727105527706,gs25#11901,2020-08-16,2:34:37 PM,2,2,0,1.00,921,"2,475",211.54,0,0,2,24,11m 42s,"8,946","3,395","5,468",0,30,0,0,,1,0,"379,312",91.6%,10m 27s,0,0,2,519,1,1,1,4
13612976046336364059,gs25#11901,2020-08-16,2:14:35 PM,2,3,0,0.67,873,625,61.78,0,0,,29,10m 07s,"6,823","1,625","5,119",0,20,0,0,,0,2,"287,272",59.5%,08m 52s,0,0,,655,1,1,1,1
