game_id,game_date,gamer_id,game_type,game_time,placement,kills,cache_open,damage,damage_per_min
5749738534676466507,2020-08-19,gs25#11901,BR Trios,03:04 PM,20th,1,6,679,54.32
17225222061192370153,2020-08-19,gs25#11901,BR Trios,02:55 PM,51st,0,,231,56.11
185930133552680079,2020-08-19,gs25#11901,BR Quads,02:30 PM,11th,6,4,"1,578",86.94
14951680217272270190,2020-08-18,gs25#11901,BR Quads,11:41 PM,3rd,5,2,"2,911",105.85
16612049118592201819,2020-08-18,gs25#11901,BR Quads,11:11 PM,3rd,4,7,"2,657",93.89
4989682221071056907,2020-08-18,gs25#11901,BR Quads,10:42 PM,1st,10,6,"4,194",149.70
10910800995187449254,2020-08-18,gs25#11901,BR Quads,10:37 PM,37th,1,2,118,30.13
17178160169281545453,2020-08-18,gs25#11901,BR Trios,10:31 PM,49th,1,,265,60.23
