game_id,game_date,gamer_id,game_type,game_time,placement,kills,cache_open,damage,damage_per_min
15148508358829287070,2020-08-14,gs25#11901,BR Trios,02:33 AM,7th,1,4,"1,555",65.70
13949534349393793674,2020-08-14,gs25#11901,BR Quads,02:07 AM,9th,2,1,754,31.95
16075577159517511184,2020-08-14,gs25#11901,BR Quads,01:55 AM,26th,0,2,306,28.51
1767151693668853413,2020-08-14,gs25#11901,BR Quads,01:41 AM,23rd,3,5,998,79.42
8782677309334513306,2020-08-14,gs25#11901,BR Quads,01:24 AM,15th,0,8,204,12.44
11157140267990774241,2020-08-14,gs25#11901,BR Quads,01:14 AM,31st,0,2,202,25.41
13780297415496995258,2020-08-14,gs25#11901,BR Quads,01:02 AM,27th,1,4,759,72.29
9832100372973798529,2020-08-14,gs25#11901,BR Quads,12:33 AM,2nd,5,11,"1,462",52.62
14694518878402753698,2020-08-14,gs25#11901,BR Quads,12:23 AM,28th,1,,380,42.78
1123155061263201511,2020-08-14,gs25#11901,BR Quads,12:01 AM,9th,4,3,"1,721",81.82
18216014140075560121,2020-08-13,gs25#11901,BR Trios,11:53 PM,42nd,0,1,30,5.42
