game_id,game_date,gamer_id,game_type,game_time,placement,kills,cache_open,damage,damage_per_min
14951680217272270190,2020-08-18,gs25#11901,BR Quads,11:41 PM,3rd,5,2,"2,911",105.85
16612049118592201819,2020-08-18,gs25#11901,BR Quads,11:11 PM,3rd,4,7,"2,657",93.89
4989682221071056907,2020-08-18,gs25#11901,BR Quads,10:42 PM,1st,10,6,"4,194",149.70
10910800995187449254,2020-08-18,gs25#11901,BR Quads,10:37 PM,37th,1,2,118,30.13
17178160169281545453,2020-08-18,gs25#11901,BR Trios,10:31 PM,49th,1,,265,60.23
11241832392269774456,2020-08-17,gs25#11901,BR Quads,11:14 PM,35th,2,2,845,119.29
17414335490099552516,2020-08-17,gs25#11901,BR Quads,10:59 PM,26th,2,3,879,70.89
4794064184118088964,2020-08-17,gs25#11901,BR Quads,10:51 PM,32nd,1,4,472,65.40
15282175375476925575,2020-08-17,gs25#11901,BR Quads,10:41 PM,34th,2,1,707,84.50
14527932793029979442,2020-08-17,gs25#11901,BR Quads,10:11 PM,3rd,8,3,"2,791",99.09
11574186447550017631,2020-08-17,gs25#11901,BR Quads,09:49 PM,7th,3,4,"1,290",59.81
3100980459093569714,2020-08-17,gs25#11901,BR Quads,09:18 PM,1st,10,2,"4,462",163.64
7422722263897817468,2020-08-17,gs25#11901,BR Quads,08:51 PM,3rd,5,4,"3,163",121.42
18400227300808406987,2020-08-17,gs25#11901,BR Quads,08:37 PM,27th,3,7,802,60.15
1295025773413277684,2020-08-17,gs25#11901,BR Trios,08:25 PM,38th,4,4,"1,240",122.17
4288954097006684764,2020-08-17,gs25#11901,BR Quads,08:02 PM,8th,4,5,"1,162",52.42
11645254861986252222,2020-08-17,gs25#11901,BR Quads,04:10 PM,6th,4,7,"2,614",99.71
15434382295205941814,2020-08-17,gs25#11901,BR Quads,03:42 PM,7th,6,7,"3,522",136.60
6219825127376906600,2020-08-17,gs25#11901,BR Quads,03:33 PM,32nd,1,1,134,15.73
4122764306635781717,2020-08-17,gs25#11901,BR Quads,03:21 PM,24th,1,6,"1,253",117.84
