platform_id,game_id,champion_id,queue,season,summoner_timestamp,role,lane,summoner_id
NA1,3629677694,142,420,13,2020-10-23 14:17:10.025,SOLO,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3628326248,142,420,13,2020-10-22 17:05:40.153,SOLO,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3628291504,131,420,13,2020-10-22 16:07:07.491,SOLO,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3627199753,142,420,13,2020-10-21 18:56:13.974,SOLO,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3627077191,131,420,13,2020-10-21 18:18:48.444,SOLO,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3626467227,131,420,13,2020-10-21 03:58:11.195,DUO_CARRY,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3625651201,142,420,13,2020-10-20 18:53:12.645,SOLO,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3617027631,142,420,13,2020-10-14 16:16:58.871,SOLO,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3616262751,142,420,13,2020-10-14 03:59:55.913,SOLO,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3615214121,142,420,13,2020-10-13 14:39:36.343,SOLO,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3614715963,131,420,13,2020-10-13 03:28:32.943,SOLO,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3613935252,142,420,13,2020-10-12 14:23:44.714,SOLO,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3613914098,131,420,13,2020-10-12 13:56:06.638,DUO_SUPPORT,NONE,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3613626219,142,420,13,2020-10-12 05:10:31.627,SOLO,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3610118987,131,420,13,2020-10-09 20:22:52.615,SOLO,TOP,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3610066767,142,420,13,2020-10-09 19:50:02.523,SOLO,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3609832140,131,420,13,2020-10-09 14:23:11.671,SOLO,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3608479636,131,420,13,2020-10-08 17:14:49.475,SOLO,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3608015266,142,900,13,2020-10-08 03:57:36.948,DUO_SUPPORT,NONE,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3607603123,142,420,13,2020-10-07 21:59:40.837,SOLO,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3607590035,131,420,13,2020-10-07 21:35:21.619,DUO_SUPPORT,NONE,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3607477616,131,420,13,2020-10-07 21:03:37.635,SOLO,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3606732223,142,900,13,2020-10-07 02:44:47.466,DUO_SUPPORT,NONE,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3606556697,142,900,13,2020-10-07 02:15:38.336,SOLO,TOP,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3605838850,142,420,13,2020-10-06 16:37:54.415,SOLO,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3604674550,131,420,13,2020-10-05 17:03:56.038,SOLO,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3603593249,131,420,13,2020-10-04 20:17:36.682,SOLO,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3603348313,131,420,13,2020-10-04 19:40:39.519,SOLO,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3603353878,142,420,13,2020-10-04 19:09:24.854,SOLO,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3603277379,131,420,13,2020-10-04 18:21:41.731,SOLO,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3603244001,142,420,13,2020-10-04 17:49:12.552,SOLO,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
