game_id,gamer_id,kills,deaths,assists,kd,damage,score,score_per_min,wall_bangs,headshots,reviver,team_placement,time_played,total_xp,score_xp,match_xp,challenge_xp,medal_xp,bonus_xp,misc_xp,team_wiped,gulag_kills,gulag_deaths,distance_traveled,percent_time_moving,team_survival,executions,nearmisses,kiosk_buy,damage_taken,mission_pickup_tablet,last_stand_kill,longest_streak,cache_open
17867605811909344450,cozy#11349,3,2,0,1.50,902,"5,125",357.97,0,0,,41,14m 19s,"14,968","6,825","8,088",0,0,0,0,,1,0,"364,778",94.9%,13m 00s,0,0,4,290,1,1,2,6
16423821472679312462,cozy#11349,4,1,0,4.00,"1,198","5,370",212.25,0,1,,7,25m 18s,"19,107","5,770","12,615",0,30,0,0,,0,0,"269,353",73.8%,23m 59s,0,0,3,180,,,4,4
4149629953153452848,cozy#11349,6,1,0,6.00,"2,582","8,630",321.22,0,1,1,3,26m 52s,"28,389","13,570","13,121",0,315,0,0,,0,0,"372,504",93.2%,25m 24s,0,0,6,394,4,6,6,4
13999927581342584907,cozy#11349,0,2,0,0.00,281,0,0.00,0,0,,38,03m 35s,"1,222",100,"1,122",0,0,0,0,,0,1,"252,088",94.2%,02m 23s,0,0,,328,,,0,
13045003020240095012,cozy#11349,2,4,0,0.50,"1,410","1,850",82.90,0,0,1,9,22m 19s,"13,335","2,450","10,744",0,10,0,0,1,1,2,"373,615",60.4%,20m 53s,0,0,,"1,097",3,2,3,1
